geoid,name,B25024001,"B25024001, Error",B25024002,"B25024002, Error",B25024003,"B25024003, Error",B25024004,"B25024004, Error",B25024005,"B25024005, Error",B25024006,"B25024006, Error",B25024007,"B25024007, Error",B25024008,"B25024008, Error",B25024009,"B25024009, Error",B25024010,"B25024010, Error",B25024011,"B25024011, Error"
04000US21,Kentucky,2010655,372,1359729,5969,55824,1413,55543,1916,86599,2717,93781,2652,68521,2068,32100,1366,38578,1699,217876,3595,2104,345
05000US21001,"Adair County, KY",8632,24,6364,270,125,84,100,65,133,84,208,123,95,121,72,74,0,20,1520,240,15,15
05000US21003,"Allen County, KY",9261,21,6812,306,96,68,56,53,107,99,210,149,168,140,32,34,0,24,1746,246,34,43
05000US21005,"Anderson County, KY",10196,30,8332,308,166,106,603,226,359,183,51,58,17,28,13,19,22,27,633,173,0,24
05000US21007,"Ballard County, KY",3707,19,2669,163,13,12,94,45,148,85,76,39,15,12,3,4,0,18,689,169,0,18
05000US21009,"Barren County, KY",20107,41,13879,506,331,140,1053,320,1377,300,441,154,226,129,63,64,149,97,2572,402,16,19
05000US21011,"Bath County, KY",5479,17,3422,245,6,8,30,29,57,63,112,58,50,32,63,39,12,19,1715,256,12,17
05000US21013,"Bell County, KY",11608,28,7261,446,24,42,167,94,572,182,483,189,103,101,83,55,225,86,2690,377,0,24
05000US21015,"Boone County, KY",52476,82,36308,691,2960,430,505,223,1165,329,3287,585,4538,569,642,225,1086,281,1972,362,13,20
05000US21017,"Bourbon County, KY",9148,27,6735,339,294,104,541,237,532,197,366,143,44,39,0,24,65,73,540,125,31,40
05000US21019,"Boyd County, KY",21731,56,16360,506,327,165,483,161,490,171,872,225,425,128,284,115,341,82,2116,359,33,43
05000US21021,"Boyle County, KY",12969,57,9820,354,248,102,875,264,568,177,546,195,140,86,17,18,115,66,640,175,0,27
05000US21023,"Bracken County, KY",3847,34,2392,157,66,64,44,30,59,37,74,47,46,33,43,27,3,5,1120,166,0,18
05000US21025,"Breathitt County, KY",6559,28,3305,223,60,35,71,43,172,80,142,58,57,38,18,20,0,20,2693,232,41,36
05000US21027,"Breckinridge County, KY",10760,29,7296,379,56,69,59,29,30,22,123,68,106,48,47,22,15,21,3028,386,0,24
05000US21029,"Bullitt County, KY",33222,89,26475,572,1090,246,249,123,1411,278,977,231,392,134,184,124,128,64,2289,340,27,38
05000US21031,"Butler County, KY",5453,19,3545,222,19,14,136,49,44,26,120,72,133,63,1,4,0,20,1448,196,7,11
05000US21033,"Caldwell County, KY",6085,21,4912,231,25,46,254,132,112,90,48,61,32,38,45,40,12,20,645,162,0,20
05000US21035,"Calloway County, KY",18034,41,11543,496,167,109,1043,264,1025,252,1100,243,427,206,130,91,54,40,2478,368,67,77
05000US21037,"Campbell County, KY",41784,79,26667,571,1562,229,1793,320,1538,299,3045,526,3573,434,1237,260,1504,310,865,239,0,30
05000US21039,"Carlisle County, KY",2315,30,1755,114,0,13,20,23,47,30,54,30,2,3,14,16,0,13,411,93,12,15
05000US21041,"Carroll County, KY",4682,16,2932,255,158,110,176,105,69,54,326,133,15,21,0,20,47,63,959,204,0,20
05000US21043,"Carter County, KY",12283,25,8303,450,102,80,179,90,118,79,112,84,103,99,103,73,32,26,3223,440,8,14
05000US21045,"Casey County, KY",7401,24,5371,282,35,28,64,47,65,45,94,69,30,35,5,10,0,20,1737,268,0,20
05000US21047,"Christian County, KY",29307,73,19313,567,1317,218,1407,264,2147,463,1341,383,495,172,575,211,214,106,2459,305,39,38
05000US21049,"Clark County, KY",16279,55,11516,457,958,233,882,242,494,185,731,224,263,186,201,83,62,49,1129,204,43,51
05000US21051,"Clay County, KY",8642,31,5448,371,32,46,118,59,120,59,201,106,31,36,33,36,42,38,2575,366,42,42
05000US21053,"Clinton County, KY",4864,16,3413,216,16,15,46,31,30,29,53,44,23,35,56,35,34,41,1187,200,6,11
05000US21055,"Crittenden County, KY",4351,35,3540,160,22,29,66,57,59,53,29,24,0,18,0,18,0,18,635,151,0,18
05000US21057,"Cumberland County, KY",3399,14,2343,191,48,36,97,50,58,37,22,25,12,16,26,24,0,18,793,188,0,18
05000US21059,"Daviess County, KY",44199,51,32497,797,662,177,1452,308,2406,357,1737,349,1157,296,697,281,953,244,2625,383,13,25
05000US21061,"Edmonson County, KY",6418,40,3890,317,23,30,19,23,17,16,50,38,51,33,9,8,2,3,2357,301,0,20
05000US21063,"Elliott County, KY",3065,33,1906,187,17,22,6,9,66,59,30,22,23,19,23,21,0,18,994,189,0,18
05000US21065,"Estill County, KY",6847,24,4481,289,94,65,250,136,142,70,215,100,225,124,13,18,6,11,1344,220,77,70
05000US21067,"Fayette County, KY",147720,118,86227,1262,9916,822,4606,564,6729,685,10453,914,13440,980,6796,798,8049,854,1463,302,41,54
05000US21069,"Fleming County, KY",6776,20,4187,298,22,25,87,61,85,78,131,78,22,24,0,20,0,20,2242,279,0,20
05000US21071,"Floyd County, KY",17475,61,10745,574,41,38,461,164,379,129,298,142,295,212,25,20,129,81,5052,567,50,53
05000US21073,"Franklin County, KY",24082,45,15860,507,682,219,1033,268,1655,343,1449,383,1187,266,573,184,322,144,1152,265,169,219
05000US21075,"Fulton County, KY",3174,22,2508,133,25,25,156,75,165,70,112,59,66,60,14,15,0,18,128,61,0,18
